"text","toss","non_comp","coder1nonc","coder2nonc"
"Remember how hospitals had to pick which patients got ventilators cause the country didn’t have enough? Remember how millions of Americans cannot afford healthcare to deal with COVID if they got sick? Remember how millions can’t afford to stay home?",NA,0,0,0
"Today McCabe declines to testify next week on Crossfire Hurricane, citing “manifest danger” of Covid-19 among Committee members. But what about masks being safe?? 😉",NA,1,1,1
"My father died today. 

COVID-19. 

Wear a mask.",NA,0,0,0
"🚨TONIGHT-DOUBLE HEADER🚨
2/1/21 LIVE starting 8:30‼️

Block #A 8:30 PM EST
@DrBill_MD_ is in the House discussing latest info on Covid, Vaccines and Medical Journals Latest report on HCQ,
Block #B 9:00 PM EST with the one and only @JackJolis on ""The Left's Post-Trump Offensive"" https://t.co/kYg51eiqTr",NA,0,0,0
"More than 240,000 Americans have died from COVID-19 this year. We all need to continue taking this pandemic seriously &amp; doing everything we can to protect ourselves and those around us—which means wearing a mask and social distancing.",NA,0,0,0
"Let this sink in—

Iowa’s House speaker said he can’t make lawmakers wear masks — but he did enforce a ban on jeans. 

Jeans don’t kill people. But not wearing a mask can kill people. #COVID19 
 https://t.co/RNpez2WhKh",NA,0,0,0
"Something wrong when Marco Rubio -- who downplayed COVID and mocked people wearing masks -- is among first to get the vaccine.",NA,0,0,0
"Indoor restaurants, bars, and social gatherings are, sadly, unsafe right now, especially in areas the virus is spreading widely. Low occupancy, increased ventilation, and masking when possible can reduce, but not eliminate, the risk of Covid in these places.",NA,0,0,0
"@jezardscribe1 @vickyyyf The pastor was a truther, of sorts.
The minister who spread it said it was his religious freedom to not have to isolate or wear a mask. Hired a Florida lawyer to represent him.
https://t.co/pFOdFNAoo1",NA,0,0,0
"My new move is to not wear a mask and pretend I don’t know what COVID is. 

A guy actually took a minute to explain the “pandemic” to me. 🤣",NA,1,1,0
"Graham won’t get tested for COVID because he would rather infect his colleagues and confirm Amy Covid Barrett than quarantine 🚨 

The same extremist nominee who will take away our healthcare and right to choose

Pass it on #VoteHimOut2020 South Carolina!
https://t.co/nk1W80GEht",NA,0,0,0
"Sen. Thom Tillis contracted the Chinese coronavirus following last week's Rose Garden event despite wearing a mask at the gathering. https://t.co/PGUeAS4RFF",NA,0,0,1
"The media is fear mongering Covid and cheerleading economic shutdowns. 

Because they think it helps Biden. 

Annoy the media, re-elect @realDonaldTrump.",NA,1,1,1
"CA issued the Stay At Home order on December 3rd. LA County hospitalizations were at 2,572.

Today, when they lifted the order, LAC hospitalizations are 6,697. 

Soooo yeah their story about ""ICU capacity opening back up"" that's bullshit. 

This was political.",NA,0,0,0
"15 days to slow the spread of Covid has turned into a never ending lockdown and power grab for the Democrats. Now Joe Biden is moving the goalposts on ... https://t.co/69FbmHvvh9",NA,1,1,1
"What a joke of a human! He said he didn’t want any vaccine coming from the Trump admin. Trump is just following Cuomo’s word. So...you can’t trust Cuomo’s word? Oh yeah the guy who ordered covid patients be sent to rest homes where the biggest danger of life expectancy was. Nice. https://t.co/nYJJLgPHz8",NA,0,0,1
"As someone who survived COVID-19 earlier in the pandemic I have a question. How will immunity react to the COVID-19 vaccine ?",NA,0,0,0
"shout out to the frats that had giant parties this weekend even though multiple people in the house tested positive for rona causing all of campus to shut down and putting my neighborhood on extreme lockdown. you guys rock!!",NA,0,0,0
"I’m happy to report that Jill and I have tested negative for COVID. Thank you to everyone for your messages of concern. I hope this serves as a reminder: wear a mask, keep social distance, and wash your hands.",NA,0,0,0
"‘Owns stock in coronavirus’: Melania Trump mocked for being ‘only person not wearing a mask’ at voting site https://t.co/SR7sjZrBxr",NA,0,0,0
"Dr. Fauci says new data shows Covid vaccines appear to be less effective against some new strains https://t.co/tilqEEzZhQ",NA,0,0,0
"New Mexico orders two-week lockdown amid COVID-19 surges https://t.co/RckcAHXEhj",NA,0,0,0
".@JoeBiden on Trump's COVID team: 

""What is the matter with them? Resist? Every major individual of any consequence in the health field is saying, we can save 100,000 lives between now and January 21 by wearing these masks ... What are they doing? It's totally irresponsible."" https://t.co/9eQJ8wKzuC",NA,0,0,0
"U.S. to change Covid vaccine allocation to favor states that quickly administer shots https://t.co/2GjwJYaLtO",NA,0,0,0
"👀

ER nurse tests positive for COVID-19 eight days after receiving vaccine  https://t.co/NFeiH8QtUF",NA,0,0,0
"virus &amp; defy the very basic characteristics of human decency.

Massie still refuses to #maskup. 

#owensby4congress #WearAMask #SCIENCEoversass #maniacmassie #2020election",NA,0,0,0
"The Vice Commandant of the Coast Guard, Admiral Charles Ray, is under quarantine at home after testing positive for COVID-19. https://t.co/gAeoqil0nr",NA,0,0,0
"First trucks carrying the COVID-19 vaccine in the US have left the Pfizer facility: The first shipments of a COVID-19 vaccine for widespread use in the United States headed Sunday from Michigan to distribution centers across the country.  https://t.co/n8pNOw2zMu https://t.co/NLx90w7VDk",NA,0,0,0
"As a society we should have been better prepared for this pandemic...
We have been advising people to ""avoid it like the plague” for decades.
Turns out most of us were not listening.
#WearAMask 
#WearADamnMask",NA,0,0,0
"Masks are about protecting yourself from Karen, not COVID",1,0,1,0
"Another ER shift without seeing COVID here in Arizona. It’s been 3-4 wks. 👏Masks are effective. It’s criminal the Trump admin cancelled plans to distribute 650 million face masks through USPS in April. Vote this science denial admin OUT then charge them w/crimes against humanity",NA,0,0,0
"Cases are rising, hospitals across the country are once again reaching capacity, and health experts warn that the worst is yet to come. Please do your part to help us turn the tide against this virus — wear a mask and avoid large gatherings.",NA,0,0,0
"Coronavirus UK: Regulator is poised to give go-ahead to a vaccine for emergency use within DAYS https://t.co/naHnPb7Je1",NA,0,0,0
"#WEWS explored #Ohio's plan to vaccinate this population last week when it became clear that the state was relying on the honor system to vaccinate people with these conditions.

#COVID #vaccine

https://t.co/K1x5pHPLKd",NA,0,0,0
"Rep. Joe Kennedy III in Everett supporting Gerly Adrien, the first Black woman elected to Everett’s City Council. Adrien’s colleagues called on her to resign bc she prefers to attend meetings remotely to avoid exposing family to Covid. Some councilors do not wear masks @ meetings https://t.co/Z2xQCN1NYX",NA,0,0,0
"Close your eyes and try to imagine the reaction if someone photographed Gov. Whitmer in a Washington DC hotel bar, with a $500 bottle of Dom Pérignon, without a mask, on the day Michigan had nearly 10,000 new cases of COVID-19 and 53 deaths.",NA,0,0,0
"Democrat lockdowns are destroying America",NA,1,1,1
"@gtconway3d So this 3 hour long wait in the cold is “an adventure” but being asked to wear a mask to go in a store for 20 or 30 minutes is an afront to their freedom? Ok...",NA,0,0,0
"Lockdowns are deadly. End them. #ConstitutionOverCoronavirus https://t.co/iXDyEniEoW",NA,1,1,1
".⁦@VP⁩ Pence gets the coronavirus vaccine. “I didn’t feel a thing,” he says. https://t.co/frqXcmB5s0",NA,0,0,0
"But with different conditions*, the risk is 50X higher
 = 5% chance for each person catching COVID19

*100 people, ~1ft avg distance, cloth masks, indoor with HEPA filter and 5X ventilation

https://t.co/pxXkbGzyKv https://t.co/r51DRiQI47",NA,0,0,0
"The highly infectious Covid variant is in Iowa.

Our testing rate is the lowest in the country.

Our positivity rate is among the highest. 

And vaccine distribution in Iowa is at the bottom.

.@IAGovernor is trying to kill us.

#DefeatKimReynolds2022

https://t.co/xX53BQQsXM",NA,0,0,0
"Lockdown Measures Are Hurting Churches, Congregants

https://t.co/EG7BM8Mq1O",NA,1,1,1
"I don't blame them. I'm so sorry anyone would have to make this choice. 💔😪.

#StayHome 
#WearAMask 
#SocialDistance🧍
#ThankAFrontlineWorker👨‍⚕️👩‍⚕️

It didn't have to be this way 😪. https://t.co/G33EX9jtUL",NA,0,0,0
"Let this sink in—

Black Americans are 1.4x more likely to get #COVID19 &amp; 2.8x more likely to die, than Whites.

But in Florida—5.5% of Whites got at least 1 vaccine dose by Jan. 26, versus 2% of Blacks.

➡️Vaccine disparities will exacerbate inequalities.
https://t.co/STcOiicKpA https://t.co/7SEQfR8q5t",NA,0,0,0
"Large crowds of Trump supporters pack the president's rally in Muskegon, MI on Saturday with little to no social distancing. https://t.co/ZlUIitwCao",NA,0,0,0
"Today, December 14, 2020, is a turning point in this ￼pandemic￼ with vaccine arriving in the state of Alaska.￼ I wanted to stop, pause and remember today as well as thank the vaccine team, our tribal, municipal, and federal partners￼￼ for getting us here.",NA,0,0,0
"Big Red Said Mask Up , Stop The BS over 3000 dead every day now . Stay Home , Take Vaccine. ⁦@CDCDirector⁩ ⁦@HHS_ASH⁩ ⁦@ashishkjha⁩ ⁦@SpeakerPelosi⁩ ⁦@BillCassidy⁩ ⁦⁦@JoeBiden⁩ ⁦@SenKamalaHarris⁩ ⁦@RepRichmond⁩ . ⁦@MSNBC⁩ https://t.co/2wEU4qGzia",NA,0,0,0
"@skarlamangla That is exactly why. I’m a nurse. N95 masks are fit-tested to each person. It’s not one size fits all. Once you have been fit tested and know what size fits, you can keep with same size but should be fit-tested again periodically as weight changes and aging alter the fit.",NA,0,0,0
"I am publicly inviting Joe Biden to sit down with me on Life, Liberty &amp; Levin for a full hour interview.  Subjects would include the Supreme Court, China, the coronavirus and coming vaccine, law and order and the riots, and his 110-page manifesto.",NA,0,0,0
"The NYT reports that as cases spike US has stockpiled only about 1/3 as many N95 masks as its target for winter. Yet Trump is AWOL spinning fantasies. How is that different from a ship’s captain abandoning his post under fire? And where are GOP demands for him to do his job?",NA,0,0,0
"For months we’ve been told we should wear masks not so much to protect ourselves as to protect others. Now the head of the CDC is claiming that a mask will protect the wearer better than a vaccine. Does he expect people to believe that?",NA,1,1,1
"Palestinians: We didn't ask Israel for COVID-19 vaccine https://t.co/qDon9vDP4n",NA,0,0,0
"Audrey Ellis, 29yo Transplant RN, UC downtown Denver Hospital,   died of #covid19 cardiac damage 3/22. She loved life, Irish dance, &amp; yoga, was a world traveler and marathon runner, and had a bright future ahead of her. #healthcareheroes #WearAMask https://t.co/2NwhTGOCak https://t.co/Em07VLyc09",NA,0,0,0
"@SereneApathy @sifeij @nypost the vent lets droplets pass more easily thus defeating the purpose of why mask mandates are in effect. Masks are to protect someone from you not the other way around (at least according to the CDC)",NA,0,0,0
"Rand Paul was the only person in the Senate chamber who did not applaud officer Eugene Goodman Fri, and the only person who did not wear a mask. CNN",NA,0,0,0
"@JaeaGeep @Sparks80079110 @guayuvin40 @unity_forever2 @CDCgov Fauci looks like he is working against America and he even does not wear his mask properly (photo of Dr. Fauci at a baseball game).",NA,0,0,0
"Pfizer to begin Covid vaccine clinical trial in pregnant women. https://t.co/uDkrw1ECy7",NA,0,0,0
"They arrested owners for opening businesses to feed their families.

American Patriots have had enough of the tyrannical lockdown!

Happening now in Staten Island:  @NYGovCuomo and @NYCMayor 

We're silent no more. 

#FightBack 
#OPENUPNYC https://t.co/Iq0J8anvjH",NA,1,1,0
"@cmceltic52 Until....A humbling Herman Cain/coronavirus timeline:

6/24: Attends Trump rally, maskless
7/2: Tests positive for Covid-19
7/10: Says he’s improving
7/15: Says his doctors seem happy
7/27: Says he’s really getting better
7/30: Dies",NA,0,0,0
"Stay home, relax and enjoy my book: https://t.co/yfKIV6vKa8",NA,0,0,0
"@AmlongJudyann @GourmetZoe @janroge77778495 @book960 @REDGRRRL1 @Kelleyrose20 @sarahbeth0404 @seacreaturemama @JWearadamnmask @noneejudi @MaryAnnGarciaNM @ThatsJaimeLeigh @LisaWNC1 @Beautiful19801 @Texy_Liz @oXxRowanxXo @princessamiira @pistolstrikesbk @notjustmylife @drodvik52 @CatEyezGreen_ @HLStockenstrom @kellabel @katibug817 @ButtersKatz @Rosie_wearamask @catsequalneko @MauraRolls He was such a wonderful man. https://t.co/GIz0ebzJWB",NA,0,0,0
"@Jim_Jordan And why is it that it is Republican governors like DeSantis who will not protect their citizens? Why is it that Republican senators and congressmen are the ones getting covid...perhaps because they still think it is a host and refuse to wear masks?",NA,0,0,0
"Is Tedros Listening to China . . ??🤔

What's Behind The WHO's Lockdown Mixed-Messaging

“The only time we believe a lockdown is justified is to buy you time we’d rather not do it.”
~Dr David Nabarro from the WHO
https://t.co/SowxLK8Rij",NA,0,1,0
"Dr. Anthony Fauci says it might be time to mandate masks as Covid-19 surges across the US https://t.co/YNMpRMdRbi https://t.co/EXFpzsbI3r",NA,0,0,0
"Rich countries have bought enough Covid-19 vaccine doses to immunize their populations three times over, an international vaccine watchdog has said, but developing countries are being left behind in the global sprint to end the coronavirus pandemic. https://t.co/aYeEd9dL2O",NA,0,0,0
"COVID-19 vaccines are here, but what I do is still important. So, I’m masking up, avoiding crowds, staying at least six feet apart from others, and not socializing indoors with people I don’t live with. Vaccines can help, but so can I. #SlowTheSpread",NA,0,0,0
"This is exactly correct, and after this last lockdown even more people decided they’d rather not work and just feed off the government. They really do hate us. https://t.co/hj0SJn6QDL",NA,0,0,1
"@AnIllicitWriter @KarenMi52596689 We all knew. The crime is not acting. Wear a mask and keep your distance.",NA,0,0,0
"CDC: 85% of COVID-19 patients report ‘always’ or ‘often’ wearing a mask.

Americans are wearing masks, but masks aren't working.
https://t.co/1DZKXDLuZx",NA,1,0,1
"Breaking News: CDC research found that tightly fitted masks, or doubling up with both cloth and surgical masks, could reduce coronavirus transmission by up to 96.5%. https://t.co/Gu9Pa1IPfd",NA,0,0,0
"I want to share my story with you; I think given my last post it is important. I am a participant in a Phase 3 clinical trial for a #COVIDVaccine. I did not make the decision lightly; I am a wife and a mom to two young kids. Admittedly, my husband was not happy! #COVID19 1/18",NA,0,0,0
"Masks save lives. They protect others and they protect the wearer. Protection is likely synergistic. Excellent, clear new scientific brief from the CDC. Cloth face coverings are a lot better than nothing, but standardized surgical masks and N95s should be widely available.",NA,0,0,0
"Remember when they said you don't have to wear a mask if you are properly social distancing?

They tased and arrested a mother in front of her children at her son's football game in Ohio for not wearing a mask in a nearly empty seating area..",NA,1,1,0
"Lockdowns Haven't Brought Down COVID Mortality, But They Have Killed Millions Of Jobs https://t.co/r33hakqh1F",NA,1,0,1
"@hibawants @jolia_pati @Robthefrosty @AmlongJudyann @ArasAroyan @ResisterChic @pixie_gates @Rubicon1313 @HLStockenstrom @suzyq8825 @DavidTexBrandon @book960 @LeeJordanofWI @GeraldW44206008 @Brindlepooch @KathleenRMC1 @cris_n3wy @Rosie_wearamask @resistwithEllen @BikerMike03flhr @seacreaturemama @noah_nonsense @Eliz2Vargas @greger_mary @IndieAgitator @LocolopezNYC @Biden_Army @leonresists @Djangomydog @lmakowski3 @glennkirschner2 @SueisStaying @PlumptyTrumpty @katibug817 @BrenSumner @WordsDawn @PattyCross2160 @xtraferocity @doxie53 @Peatches66 @zelda229 @56blackcat @bogdanoffelaine @davidmweissman @WaterDean @Effy_Got_banned @ConfedofLunches @Starscream35 @iDGRic 😞 Yeah I played against a team where there was a girl that had to wear long sleeves and tights and her head covering while playing I felt so bad for her. She looked like she was going to pass out at one point.",NA,0,0,0
"If you are entering the US by plane after January 26, you need to show that you have tested negative for COVID-19.

The test must be no more than 72 hours old.

This applies even to people who have gotten the COVID-19 vaccine already.

I assume it doesn’t apply to the caravan.",NA,0,0,0
"For elites, lockdown was just ""restaurants were closed for a while"" https://t.co/NK5Xgd63Y7",NA,0,0,0
"A vote for Biden is a vote for indefinite lockdown and mandatory masks everywhere. 

Governor Pritzker and mayor Littlefoot are trying that again in IL. 

Not going well. 

Americans aren’t buying it again. https://t.co/3V1yTtxdUN",NA,1,1,1
"Retweet if you are a patriot who plans to wear a mask for the next 100 days as President Biden is encouraging!",NA,0,0,0
"The U.S. is continuing to work at record speed to develop effective vaccines and treatments for #COVID19. This week, @HHSgov announced Georgia will receive nearly 2,000 vials of a new antibody treatment for patients in our state. https://t.co/g1bHjB4N6Y",NA,0,0,0
"Did you know Biden's covid-19 Zeke Emmanuel wants to distribute the covid-19 globally before  here in the United States? After all the screaming for a vaccine b/c of the US death toll now they want to put America last! Democrat policies at work means America comes last!",NA,0,1,0
"(2/2) To our communities, we plead with you to stay home, social distance, wash your hands and wear masks in public. It is up to all of us to ensure that our hospitals don’t become overwhelmed so we can continue to provide the best possible care to all patients. #balladhealth",NA,0,0,0
"To anyone thinking of counter demonstrating against the “Million MAGA march”: Please just stay home. You’re only playing into their hands because they want violent confrontation. Don’t give it to them. Let them yell and scream, just like they do on Parler where no one can hear.",NA,0,0,0
"My Trump hating aunt in TN has been exposed to Covid by her Trump-loving-tested-positive-son-in-law who refuses to wear a mask. Anyway she just asked if I would request people to pray for her. She said ""even if they don't know me it might help."" So if you pray, please do. 😊",NA,0,0,0
"And just like that, all the hysteria over COVID mysteriously disappeared. The CDC was even encouraging people with the virus to break quarantine and go vote on Election Day.",NA,1,1,1
"CNN’s Jamie Gangel is saying right now that Tom Cotton told her on Jan. 6 that he asked a staffer to bring him his gun while in lockdown so that he could shoot the rioters if they barged through the door.",NA,0,0,0
"Fauci said COVID fatality was 3.6% (lie).

Fauci said lockdowns work (lie).

Fauci said masks don’t work (true, but he lied to manipulate us).

Fauci said 60% vax for herd immunity (now admits lying because we weren’t ready for truth).

Seriously who listens to this guy anymore?!",NA,1,1,1
"Elderly NYC man dies just 25 minutes after receiving COVID vaccine https://t.co/e6P6ng15TZ via @MailOnline",NA,0,0,0
"The reason why these lockdowns didn't happen before the election is because they are very unpopular and anti-science. The Democrats now have their chance to ""Make America in Their Image' - their agenda is the ""Great Reset"" - OPEN UP AMERICA!",NA,1,1,1
"This is how it ought to be. Let everyone choose their own fear level.

We already know most lockdown politicians don't really believe it -- they're all cheating and sneaking away to Florida when they can, and carving out exemptions for their elite friends (e.g. pro sports). https://t.co/1ikeb0nNgd",NA,1,1,1
"Today I received my second dose of the COVID-19 vaccine during a visit to @NIH. When it becomes available to you, don’t wait — get vaccinated. It's safe, easy, and it saves lives. https://t.co/WRaJ3XvTCz",NA,0,0,0
"What’s the difference between an Orthodox Jewish wedding with 10,000 invited guests and a Trump rally? The wedding was shut down by #NYC. Because...WE ARE IN A PANDEMIC.",NA,0,0,0
"BREAKING: Advocate Aurora now says an employee at its Grafton hospital intentionally removed the Moderna COVID-19 vaccine from a refrigerator resulting in nearly 500 doses having to be thrown away https://t.co/yjhCOM64Ge",NA,0,0,0
"WASHINGTON (AP) — Homeland Security seizes roughly 10 million phony N95 masks in ongoing counterfeit investigation across the US.",NA,0,0,0
"@IngrahamAngle Lockdowns do work
All I have to say is

NEW YORK CITY &amp; STATE https://t.co/b1LsIAlKFf",NA,0,0,0
"The Mayors and Governors lied about the Coronavirus to shutdown the economy and destroy the lives of their constituents in order to get Trump in an election year.

It’s really that simple.

They got caught.

It’s time they pay for their crimes.",NA,1,1,1
"If there are more Coronavirus cases since we began instituting mask mandates and lockdowns, why are we still instituting mask mandates and lockdowns?",NA,1,0,1
"Suicide figures are up 200% since lockdown. Could 2 friends please copy and re-post this tweet? We’re trying to demonstrate that someone is always listening. 

Call 116 123 (Samaritans UK) 

Call 1-800-273-8255 (USA) 

Just two. Any two. Copy, not retweet",NA,0,0,0
"The Left has attacked Donald Trump since before he even took office. They have attacked our freedoms with useless China Virus Lockdowns and Masks. They have and continue to Burn our Cities

Now that they think they have won, the preach Peace and Unity https://t.co/R1N5Z7f87c",NA,1,1,1
"This shows an IQ close to ""0"".  WHY would anyone do this??#MakeYourselfHeardNov3rd #WeWillVote 

Georgia state Rep. Vernon Jones crowd-surfed over maskless Trump supporters — in the middle of the coronavirus pandemic. https://t.co/vsBtZnTmtx via @HuffPostPol",NA,0,0,0
"I would be willing to bet the voters who are going to decide the election in states like Florida, Wisconsin, and Pennsylvania don’t support additional lockdowns. They want to work and live life.",NA,1,1,1
"China is responsible for our lockdowns. They compromised our elected officials and destroyed economies. They’ve undermined our elections and turned us into subjects. 

F*ck China and everyone in their pocket!",NA,0,0,1
"@lsferguson We could treat the entire population of the US for about $6 billion. No lock downs or masks needed. Would have saved trillions.",NA,1,0,1
"INSANE:

A study of nearly 10 million people in Wuhan found that asymptomatic spread of COVID-19 did not occur at all.

End the lockdowns, immediately.",NA,1,1,1
"“In every respect he has acted responsibly &amp; with integrity” said Boris Johnson on Dominic Cummings flouting of the lockdown rules 

You may disagree https://t.co/8BySoQIzLQ",NA,0,0,1
"The face mask meta-analysis on CDC’s own website the “experts” don’t want you to read:  Nonpharmaceutical Measures for Pandemic Influenza in Nonhealthcare Settings—Personal Protective and Environmental Measures - May 2020 https://t.co/ZU9ziNrxkM",NA,0,0,0
"Congresswoman Lauren Boebert has an arrest history &amp; refuses top go through a metal detector.  She was allowed into Congress w/o a search.  She carries a gun! 
She tweeted Nancy Pelosi’s location during the siege. 
She refused to wear a mask in lockdown. 
Arrest &amp; Expel her!",NA,0,0,0
"Its hard to justify:
330M Americans
$900B Relief
$600 for Americans
Billions for out of country projects
Who’s working for “We The People”?
Not DC
Not Republicans or Democrats
ONLY POTUS
Pork is Pork
COVID 99.9% recovery
Shutdowns?
Overreach?
GOP &amp; Dems out of touch
Replace ALL https://t.co/f8EmzEzxVa",NA,1,1,1
"Dr. Paul Casey, ER Director in a Wisconsin hospital: 
We’re seeing more patients with Covid pneumonia in a SINGLE day than we see patients with flu in an entire flu season. https://t.co/kiRdTa8Gll",NA,0,0,0
"Stay home dictates Premier @fordnation—your livelihood isn’t essential, your child’s in-person education isn’t essential, your mental/physical health isn’t essential. Ethics isn’t essential. Humanity isn’t essential. Political photo-ops, lobbyists, mega corporations are essential",NA,1,1,1
"@BostonJoan Old study shows that if morbidly obese Americans followed CDC guidelines in regards to eating healthy and exercising regularly, there would be a major decline in 7 out of the top 10 causes death.

#BurnYourMask",NA,1,1,1
"Democrats would rather lock down our businesses than lock down our borders.",NA,1,0,1
"President Trump administered the first covid vaccine, NOT Biden. 
The media will try to tell you otherwise",NA,0,0,0
"@gtconway3d During the week of Christmas the richest country in the world has millions hungry, millions homeless, millions jobless and a pandemic killing 400,000 of it's citizens. Meanwhile we have a president on holiday holding mask-less parties and golfing, the senate on vacation. Pathetic",NA,0,0,0
"LOCKDOWNS🚨

If 50,000 doctors &amp; scientists have signed a global anti-lockdown proclamation started by epidemiologist, public health scientist, &amp; Nobel-Prize winners from Harvard, Stanford, Oxford, &amp; the World's Top Universities.

Why does the media only interview Dr.Fauci❓❓❓ https://t.co/M7su4bM9iB",NA,1,1,1
"Friendly reminder that the *only* explicit intention of the COVID lockdowns was to prevent hospital capacity overload.

That was literally it. That was the entirety of the implied deal, back in March, between citizens and governments.

And yet here we are...",NA,1,0,1
